pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
Kepler-1870 b,Kepler-1870,Kepler,3.606940031,2.10143764,5508.0,0.84,-0.22577,0.955
Kepler-1339 b,Kepler-1339,Kepler,1.341555127,0.71,5586.0,0.93,0.18765,0.94
Kepler-1905 b,Kepler-1905,Kepler,3.42392993,1.4460734,5788.0,1.015,-0.02528,1.038
Kepler-230 c,Kepler-230,Kepler,91.773242,2.04,5588.0,0.817,-0.36784,0.784
Kepler-1839 b,Kepler-1839,Kepler,5.056759834,1.9493759,5926.0,0.939,0.19174,1.03
Kepler-694 b,Kepler-694,Kepler,6.365841612,2.8,5700.0,0.95,-0.07753,0.97
TOI-5108 b,TOI-5108,Transiting Exoplanet Survey Satellite (TESS),6.753581,6.6,5808.0,1.29,0.27505,1.1
TOI-4914 b,TOI-4914,Transiting Exoplanet Survey Satellite (TESS),10.60057,12.87,5805.0,1.0,0.00903,1.03
Kepler-919 b,Kepler-919,Kepler,11.04603384,2.25,6113.0,1.21,0.16662,1.15
Kepler-1858 b,Kepler-1858,Kepler,88.07160187,2.42168247,4939.0,0.819,-0.45269,0.785
Kepler-949 c,Kepler-949,Kepler,20.99757968,2.97,5211.0,0.895,-0.44164,0.817
Kepler-411 b,Kepler-411,Kepler,3.005156,2.401,4974.0,0.82,-0.57899,0.87
TOI-1416 b,TOI-1416,Transiting Exoplanet Survey Satellite (TESS),1.0697568,1.62,4884.0,0.793,-0.46008,0.798
Kepler-144 b,Kepler-144,Kepler,5.885273,1.33,6075.0,1.235,0.28203,1.154
Kepler-1121 b,Kepler-1121,Kepler,13.15141081,1.91,6231.0,1.59,0.47495,1.29
Kepler-402 d,Kepler-402,Kepler,8.921099,1.38,6090.0,1.264,0.2035,1.072
TOI-4515 b,TOI-4515,Transiting Exoplanet Survey Satellite (TESS),15.266446,12.17,5433.0,0.86,-0.23582,0.949
TOI-3540 A b,TOI-3540 A,Transiting Exoplanet Survey Satellite (TESS),3.119999,23.53885947,5810.0,1.228,0.19005,1.081
Kepler-1690 b,Kepler-1690,Kepler,234.636,2.81109223,5404.0,0.862346,-0.24308,0.94
Kepler-1118 b,Kepler-1118,Kepler,38.6715075,2.74,5688.0,0.97,-0.06047,0.96
Kepler-150 b,Kepler-150,Kepler,3.428054,1.25,5560.0,0.939,-0.16141,0.956
Kepler-1841 b,Kepler-1841,Kepler,25.88599968,1.48912557,5190.0,0.899,-0.27843,0.823
Kepler-620 b,Kepler-620,Kepler,12.91375431,3.32,6155.0,1.22,0.34079,1.15
TOI-3160 A b,TOI-3160 A,Transiting Exoplanet Survey Satellite (TESS),3.971281,13.7646283,6190.0,1.346,0.3784,1.088
TOI-262 b,TOI-262,Transiting Exoplanet Survey Satellite (TESS),11.14529,2.07,5310.0,0.853,-0.28987,0.913
TOI-4184 b,TOI-4184,Transiting Exoplanet Survey Satellite (TESS),4.9019804,2.43,3238.0,0.2347,-2.2644,0.2109
