pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
TOI-2427 b,TOI-2427,Transiting Exoplanet Survey Satellite (TESS),1.3060011,1.8,4072.0,0.65,-0.94244,0.64
Kepler-1514 c,Kepler-1514,Kepler,10.514181,1.1758241,6145.0,1.289,0.32838,1.196
TOI-332 b,TOI-332,Transiting Exoplanet Survey Satellite (TESS),0.777038,3.2,5251.0,0.87,-0.22143,0.88
TOI-880.02,TOI-880,Transiting Exoplanet Survey Satellite (TESS),2.57571,2.19,5050.0,0.83,-0.44771,0.87
TOI-6130 b,TOI-6130,Transiting Exoplanet Survey Satellite (TESS),2.392679,14.3474953,6110.0,1.51,0.4609,1.31
HD 23472 b,HD 23472,Transiting Exoplanet Survey Satellite (TESS),17.667087,2.0,4684.0,0.71,-0.62525,0.67
Kepler-396 b,Kepler-396,Kepler,42.994,3.5,5656.0,1.06,-0.13461,0.85
TOI-1683.01,TOI-1683,Transiting Exoplanet Survey Satellite (TESS),3.0575356,2.6382,4402.0,0.7,-0.78662,0.694661
TOI-5143 c,TOI-5143,Transiting Exoplanet Survey Satellite (TESS),5.2097118,16.25302201,5183.0,0.852,-0.28635,0.864
TOI-5726.01,TOI-5726,Transiting Exoplanet Survey Satellite (TESS),5.491125215,2.554,5874.0,1.106,0.11832,1.06
TOI-1260 b,TOI-1260,Transiting Exoplanet Survey Satellite (TESS),3.127463,2.41,4227.0,0.672,-0.88941,0.679
TOI-3976 A b,TOI-3976 A,Transiting Exoplanet Survey Satellite (TESS),6.607662,12.27383387,5975.0,1.501,0.41296,1.254
Kepler-399 c,Kepler-399,Kepler,26.67569,1.43,5502.0,0.68,-0.418,0.902
Kepler-1802 b,Kepler-1802,Kepler,15.45020008,1.671,4245.0,0.637,-0.925,0.649
TOI-4155 b,TOI-4155,Transiting Exoplanet Survey Satellite (TESS),3.320729,3.21,5724.0,0.95,0.0658,1.16
TOI-5716 b,TOI-5716,Transiting Exoplanet Survey Satellite (TESS),6.7663,0.96,3436.0,0.22,-2.24692,0.19
TOI-4342 c,TOI-4342,Transiting Exoplanet Survey Satellite (TESS),10.688716,2.415,3901.0,0.599,-1.12726,0.6296
HD 63433 d,HD 63433,Transiting Exoplanet Survey Satellite (TESS),4.209075,1.073,5688.0,0.912,-0.12494,0.99
Kepler-1099 b,Kepler-1099,Kepler,2.168452593,2.83,5837.0,1.0,-0.11906,1.01
Kepler-289 b,Kepler-289,Kepler,34.5383,2.49,5990.0,1.0,0.061,1.08
TOI-277 b,TOI-277,Transiting Exoplanet Survey Satellite (TESS),3.994,2.65,4031.0,0.362,-1.3504,0.16
KOI-94 c,KOI-94,Kepler,10.423648,4.32,6182.0,1.52,0.479,1.277
TOI-2986 b,TOI-2986,Transiting Exoplanet Survey Satellite (TESS),3.2783662,9.292245,5906.0,1.458,0.36773,1.122
Kepler-1863 b,Kepler-1863,Kepler,44.99760056,2.26309256,5871.0,0.983,0.40952,1.097
TOI-5388.01,TOI-5388,Transiting Exoplanet Survey Satellite (TESS),2.594675,1.89426,3495.0,0.31,-1.88047,0.28572
HD 42813 b,HD 42813,Transiting Exoplanet Survey Satellite (TESS),13.6308205,3.41,5289.0,0.98,-0.1549,0.901
TOI-2411 b,TOI-2411,Transiting Exoplanet Survey Satellite (TESS),0.7826942,1.68,4099.0,0.68,-0.87076,0.65
TOI-3082 b,TOI-3082,Transiting Exoplanet Survey Satellite (TESS),1.926907,3.6621,4263.0,0.6847,-0.86121,0.664
Kepler-475 b,Kepler-475,Kepler,3.105508189,2.49,5009.0,0.79,-0.46424,0.86
Kepler-1836 b,Kepler-1836,Kepler,5.254169941,2.55303229,6123.0,0.987,0.01616,1.053
Kepler-896 c,Kepler-896,Kepler,29.5422566,3.15,5510.0,0.803,0.48148,0.877
Kepler-385 b,Kepler-385,Kepler,10.043686,2.73,6326.0,1.126,0.14374,0.992
Kepler-691 b,Kepler-691,Kepler,8.114379,2.09,3715.0,0.5,-1.30464,0.53
Kepler-332 b,Kepler-332,Kepler,7.626324,1.17,4955.0,0.72,-0.5837,0.743
Kepler-1041 b,Kepler-1041,Kepler,24.7576421,2.94,5957.0,1.08,0.48914,1.06
Kepler-1578 b,Kepler-1578,Kepler,1.450886907,1.04,5545.0,0.86,-0.16523,0.9
Kepler-1966 b,Kepler-1966,Kepler,8.617429733,1.10479327,5009.0,0.84,-0.56655,0.797
Kepler-1987 d,Kepler-1987,Kepler,5.644914154,2.66,4769.0,0.714,-0.61631,0.799
Kepler-819 b,Kepler-819,Kepler,33.1995648,2.76,5279.0,0.81,-0.39773,0.86
Kepler-887 c,Kepler-887,Kepler,7.63846023,1.13,6194.0,1.29,0.44617,1.19
Kepler-306 d,Kepler-306,Kepler,17.326644,2.47,4954.0,0.719,-0.4693,0.75
Kepler-177 c,Kepler-177,Kepler,49.40926,8.73,5732.0,1.324,0.24,0.921
Kepler-635 b,Kepler-635,Kepler,23.44971004,2.64,6174.0,1.51,0.73514,1.33
Kepler-1083 b,Kepler-1083,Kepler,33.4177993,3.36,5049.0,0.77,-0.47303,0.81
Kepler-79 d,Kepler-79,Kepler,52.0902,7.16,6174.0,1.302,0.342,1.165
Kepler-195 c,Kepler-195,Kepler,34.096863,1.55,5329.0,0.775,-0.36708,0.867
Kepler-1661 b,Kepler-1661,Kepler,175.06,3.87,5100.0,0.762,-0.51299,0.841
Kepler-212 b,Kepler-212,Kepler,16.257582,1.09,5852.0,1.455,0.38347,1.166
Kepler-195 b,Kepler-195,Kepler,8.307872,2.03,5329.0,0.775,-0.36708,0.867
Kepler-24 d,Kepler-24,Kepler,4.244384,1.67,5897.0,1.289,0.064,1.046
Kepler-15 b,Kepler-15,Kepler,4.942782,10.76,5515.0,0.992,-0.087,1.018
Kepler-83 d,Kepler-83,Kepler,5.169796,1.94,4648.0,0.594,-1.10237,0.58
Kepler-143 c,Kepler-143,Kepler,27.082511,3.37,5848.0,1.359,0.29363,0.982
Kepler-1116 b,Kepler-1116,Kepler,41.6977827,2.54,5641.0,0.93,-0.14676,0.95
Kepler-159 c,Kepler-159,Kepler,43.595792,3.41,4625.0,0.663,-0.75443,0.628
Kepler-54 d,Kepler-54,Kepler,20.995694,1.53,4252.0,0.554,-1.30103,0.518
Kepler-1608 b,Kepler-1608,Kepler,16.4735686,1.73,4992.0,0.72,-0.537,0.75
Kepler-152 b,Kepler-152,Kepler,18.207973,2.79,5088.0,0.724,-0.46488,0.779
Kepler-1641 c,Kepler-1641,Kepler,32.657212,2.95,6152.0,1.19,0.13083,1.12
Kepler-968 c,Kepler-968,Kepler,5.709404918,1.69,4598.0,0.7,-0.7626,0.76
Kepler-1463 b,Kepler-1463,Kepler,25.15864,1.86,5679.0,0.95,0.09195,0.96
Kepler-712 c,Kepler-712,Kepler,226.89047,4.85,5148.0,0.78,-0.48393,0.84
Kepler-1948 b,Kepler-1948,Kepler,15.57129955,1.03283226,3872.0,0.557,-0.8617,0.585
Kepler-146 c,Kepler-146,Kepler,76.732171,3.13,5948.0,1.208,0.14794,1.079
Kepler-711 b,Kepler-711,Kepler,23.58914398,3.41,5222.0,0.8,-0.49939,0.84
Kepler-1080 b,Kepler-1080,Kepler,77.2548396,3.28,5956.0,1.16,0.86064,1.1
Kepler-248 c,Kepler-248,Kepler,16.239494,4.07,5190.0,0.831,-0.41834,0.838
Kepler-1319 b,Kepler-1319,Kepler,2.886762645,1.34,3655.0,0.54,-1.45739,0.56
Kepler-678 b,Kepler-678,Kepler,7.27503724,5.14,5520.0,0.91,0.44927,0.94
Kepler-1535 b,Kepler-1535,Kepler,138.9442,2.55,6021.0,1.11,0.16473,1.08
Kepler-39 b,Kepler-39,Kepler,21.08721,13.9,6350.0,1.4,0.34593,1.29
Kepler-1532 b,Kepler-1532,Kepler,1.093663559,1.35,5559.0,0.88,-0.14116,0.91
Kepler-808 b,Kepler-808,Kepler,0.631332353,1.46,4653.0,0.71,-0.6837,0.76
Kepler-335 c,Kepler-335,Kepler,67.844469,3.07,5877.0,1.854,0.57766,1.367
TOI-1453 b,TOI-1453,Transiting Exoplanet Survey Satellite (TESS),4.3135225,1.173,4975.0,0.72,-0.57539,0.715
TOI-2141 b,TOI-2141,Transiting Exoplanet Survey Satellite (TESS),18.261608,3.147,5635.0,0.95,-0.05,0.896
TOI-763 b,TOI-763,Transiting Exoplanet Survey Satellite (TESS),5.6057,2.28,5450.0,0.897,-0.15377,0.917
Kepler-966 b,Kepler-966,Kepler,99.747622,4.13,5840.0,1.02,0.23291,1.02
Kepler-1517 b,Kepler-1517,Kepler,5.546083665,9.76,7010.0,1.95,0.87873,1.58
HD 63935 b,HD 63935,Transiting Exoplanet Survey Satellite (TESS),9.058807,2.91575244,5513.0,0.9598,-0.11464,0.9406
Kepler-260 c,Kepler-260,Kepler,76.050178,1.74,5250.0,0.862,-0.09198,1.013
Kepler-140 c,Kepler-140,Kepler,91.353282,1.8,6077.0,1.288,0.25061,1.044
TOI-2128 b,TOI-2128,Transiting Exoplanet Survey Satellite (TESS),16.34136,2.08874836,5968.0,1.1174,0.15625,1.0251
Kepler-14 b,Kepler-14,Kepler,6.790123,12.733,6395.0,2.048,0.799,1.512
Kepler-941 b,Kepler-941,Kepler,17.42395198,3.08,5539.0,0.86,-0.20576,0.89
Kepler-85 c,Kepler-85,Kepler,12.51,1.978,5505.2,0.875,-0.2123,0.928
Kepler-734 b,Kepler-734,Kepler,6.104852856,3.56,5326.0,0.78,0.37395,0.85
Kepler-599 b,Kepler-599,Kepler,15.65562652,2.84,5127.0,0.79,-0.52232,0.83
Kepler-1203 b,Kepler-1203,Kepler,0.588000765,1.06,4105.0,0.61,-0.85362,0.64
Kepler-1720 b,Kepler-1720,Kepler,12.70639992,3.21585295,5573.0,0.839,-0.33619,0.939
Kepler-549 b,Kepler-549,Kepler,42.9495649,2.57,5360.0,0.84,-0.30618,0.88
Kepler-19 c,Kepler-19,Kepler,28.731,3.68,5544.0,0.859,-0.16056,0.936
Kepler-1727 b,Kepler-1727,Kepler,9.029299736,3.17321625,5349.0,0.82,-0.25065,0.824
Kepler-531 b,Kepler-531,Kepler,29.88485741,2.78,4893.0,0.75,-0.55216,0.78
Kepler-1182 b,Kepler-1182,Kepler,11.17394617,2.41,5924.0,1.05,0.25605,1.04
Kepler-513 b,Kepler-513,Kepler,28.86235584,2.2,5849.0,1.06,0.07874,1.02
Kepler-1329 b,Kepler-1329,Kepler,9.33646594,2.17,4500.0,0.69,-0.77081,0.72
Kepler-825 c,Kepler-825,Kepler,8.1818246,1.84,5976.0,1.08,0.11956,1.03
Kepler-382 b,Kepler-382,Kepler,5.262155,1.32,5600.0,0.945,0.14553,1.002
Kepler-1191 b,Kepler-1191,Kepler,5.60014851,1.51,5308.0,0.81,-0.22611,0.85
Kepler-1891 b,Kepler-1891,Kepler,4.02229023,1.52139156,5516.0,0.827,-0.23134,0.873
Kepler-1456 b,Kepler-1456,Kepler,18.1373829,1.14,4231.0,0.62,-0.957,0.64
Kepler-529 b,Kepler-529,Kepler,1.980357663,1.86,6087.0,1.14,0.207,1.07
Kepler-835 b,Kepler-835,Kepler,11.41909375,2.79,5954.0,1.11,0.32995,1.08
Kepler-1666 c,Kepler-1666,Kepler,40.7157,3.23564749,6293.0,1.14586,0.26839,1.23
Kepler-690 b,Kepler-690,Kepler,7.748094374,5.95,5913.0,1.16,0.14056,1.11
Kepler-136 b,Kepler-136,Kepler,11.5789,2.05,6165.0,1.355,0.46678,1.204
Kepler-775 b,Kepler-775,Kepler,0.974868926,1.19,5468.0,0.84,-0.26699,0.92
KIC 10068024 b,KIC 10068024,Kepler,2.073549,13.4,6118.4,1.574,0.496,1.22
Kepler-357 b,Kepler-357,Kepler,6.475434,1.84,5036.0,0.834,-0.55635,0.794
Kepler-23 d,Kepler-23,Kepler,15.27,2.206,5828.0,1.548,0.39783,1.078
Kepler-1510 b,Kepler-1510,Kepler,84.703921,3.36,6200.0,1.28,0.37703,1.19
Kepler-1324 b,Kepler-1324,Kepler,4.115844679,1.51,4776.0,0.73,-0.67302,0.78
Kepler-110 b,Kepler-110,Kepler,12.691112,1.83,5960.0,1.149,0.27598,0.989
Kepler-716 c,Kepler-716,Kepler,3.96999,1.39281536,5012.0,0.742183,-0.50424,0.83
Kepler-1850 b,Kepler-1850,Kepler,1.385800004,0.72909663,4239.0,0.6,-0.81005,0.611
Kepler-1365 b,Kepler-1365,Kepler,7.69993485,0.92,5770.0,1.05,0.42479,1.0
Kepler-341 d,Kepler-341,Kepler,27.666313,1.85,6012.0,1.024,0.12721,0.976
Kepler-977 b,Kepler-977,Kepler,26.85328322,2.62,5315.0,0.83,-0.47627,0.87
Kepler-879 b,Kepler-879,Kepler,33.3855938,2.57,5792.0,1.02,0.0334,1.02
Kepler-1933 b,Kepler-1933,Kepler,4.943290234,1.17984089,5661.0,1.008,-0.11595,0.964
Kepler-1641 b,Kepler-1641,Kepler,19.672266,3.11,6152.0,1.19,0.13083,1.12
Kepler-23 b,Kepler-23,Kepler,7.1,1.638,5828.0,1.548,0.39783,1.078
Kepler-554 b,Kepler-554,Kepler,1.902208556,4.29,5447.0,0.92,-0.11758,0.93
Kepler-1331 b,Kepler-1331,Kepler,0.789161653,1.05,4508.0,0.69,-0.90934,0.72
